"DateTime","US Dollars ($)"
"2014-11-26 05:00:00",1124313877
"2014-11-27 05:00:00",1124313877
"2014-11-28 05:00:00",1204043934
"2014-11-29 05:00:00",1204043934
"2014-11-30 05:00:00",1204043934
"2014-12-01 05:00:00",1151630770
"2014-12-02 05:00:00",1195815785
"2014-12-03 05:00:00",1086031976
"2014-12-04 05:00:00",1223337024
"2014-12-05 05:00:00",1241454682
"2014-12-06 05:00:00",1241454682
"2014-12-07 05:00:00",1241454682
"2014-12-08 05:00:00",1382997754
"2014-12-09 05:00:00",1429081700
"2014-12-10 05:00:00",1331370834
"2014-12-11 05:00:00",1460534172
"2014-12-12 05:00:00",1511350496
"2014-12-13 05:00:00",1511350496
"2014-12-14 05:00:00",1511350496
"2014-12-15 05:00:00",883223290
"2014-12-16 05:00:00",1380849999
"2014-12-17 05:00:00",1351331136
"2014-12-18 05:00:00",1517932651
"2014-12-19 05:00:00",1666616545
"2014-12-20 05:00:00",1666616545
"2014-12-21 05:00:00",1666616545
"2014-12-22 05:00:00",1697924490
"2014-12-23 05:00:00",2122465405
"2014-12-24 05:00:00",900407539
"2014-12-25 05:00:00",900407539
"2014-12-26 05:00:00",999571124
"2014-12-27 05:00:00",999571124
"2014-12-28 05:00:00",999571124
"2014-12-29 05:00:00",1187395819
"2014-12-30 05:00:00",1178663255
"2014-12-31 05:00:00",798371284
"2015-01-01 05:00:00",798371284
"2015-01-02 05:00:00",911038642
"2015-01-03 05:00:00",911038642
"2015-01-04 05:00:00",911038642
"2015-01-05 05:00:00",1061363720
"2015-01-06 05:00:00",1207070479
"2015-01-07 05:00:00",1238353075
"2015-01-08 05:00:00",1418381439
"2015-01-09 05:00:00",1455265768
"2015-01-10 05:00:00",1455265768
"2015-01-11 05:00:00",1455265768
"2015-01-12 05:00:00",1458913122
"2015-01-13 05:00:00",1557760334
"2015-01-14 05:00:00",1451303972
"2015-01-15 05:00:00",582873990
"2015-01-16 05:00:00",1179753506
"2015-01-17 05:00:00",1179753506
"2015-01-18 05:00:00",1179753506
"2015-01-19 05:00:00",1179753506
"2015-01-20 05:00:00",1264835434
"2015-01-21 05:00:00",1532466599
"2015-01-22 05:00:00",1929609141
"2015-01-23 05:00:00",2045987884
"2015-01-24 05:00:00",2045987884
"2015-01-25 05:00:00",2045987884
"2015-01-26 05:00:00",2158987852
"2015-01-27 05:00:00",2129664296
"2015-01-28 05:00:00",2088155984
"2015-01-29 05:00:00",1825183204
"2015-01-30 05:00:00",1843240667
"2015-01-31 05:00:00",1843240667
"2015-02-01 05:00:00",1843240667
"2015-02-02 05:00:00",1775341483
"2015-02-03 05:00:00",1860834020
"2015-02-04 05:00:00",1456808288
"2015-02-05 05:00:00",1618004170
"2015-02-06 05:00:00",1630260948
"2015-02-07 05:00:00",1630260948
"2015-02-08 05:00:00",1630260948
"2015-02-09 05:00:00",1768208595
"2015-02-10 05:00:00",1831412710
"2015-02-11 05:00:00",1585520212
"2015-02-12 05:00:00",1694217890
"2015-02-13 05:00:00",929773156
"2015-02-14 05:00:00",929773156
"2015-02-15 05:00:00",929773156
"2015-02-16 05:00:00",929773156
"2015-02-17 05:00:00",823413296
"2015-02-18 05:00:00",1241994966
"2015-02-19 05:00:00",1439753974
"2015-02-20 05:00:00",1724405673
"2015-02-21 05:00:00",1724405673
"2015-02-22 05:00:00",1724405673
"2015-02-23 05:00:00",2071152331
"2015-02-24 05:00:00",2087635103
"2015-02-25 05:00:00",1768330645
"2015-02-26 05:00:00",1082968252
"2015-02-27 05:00:00",622873689
"2015-02-28 05:00:00",622873689
"2015-03-01 05:00:00",622873689
"2015-03-02 05:00:00",528859051
"2015-03-03 05:00:00",760333881
"2015-03-04 05:00:00",574222699
"2015-03-05 05:00:00",687866896
"2015-03-06 05:00:00",691422131
"2015-03-07 05:00:00",691422131
"2015-03-08 05:00:00",691422131
"2015-03-09 04:00:00",939359916
"2015-03-10 04:00:00",938351833
"2015-03-11 04:00:00",832595756
"2015-03-12 04:00:00",1089315682
"2015-03-13 04:00:00",194326991
"2015-03-14 04:00:00",194326991
"2015-03-15 04:00:00",194326991
"2015-03-16 04:00:00",576809258
"2015-03-17 04:00:00",2342222418
"2015-03-18 04:00:00",3238511055
"2015-03-19 04:00:00",3531016002
"2015-03-20 04:00:00",3604769676
"2015-03-21 04:00:00",3604769676
"2015-03-22 04:00:00",3604769676
"2015-03-23 04:00:00",3986749959
"2015-03-24 04:00:00",3993439525
"2015-03-25 04:00:00",2441294525
"2015-03-26 04:00:00",2154106300
"2015-03-27 04:00:00",2150320074
"2015-03-28 04:00:00",2150320074
"2015-03-29 04:00:00",2150320074
"2015-03-30 04:00:00",2172879728
"2015-03-31 04:00:00",2115695424
"2015-04-01 04:00:00",1710302496
"2015-04-02 04:00:00",1791500559
"2015-04-03 04:00:00",1874375950
"2015-04-04 04:00:00",1874375950
"2015-04-05 04:00:00",1874375950
"2015-04-06 04:00:00",2162451949
"2015-04-07 04:00:00",2200481574
"2015-04-08 04:00:00",2153741678
"2015-04-09 04:00:00",2266422347
"2015-04-10 04:00:00",2267286007
"2015-04-11 04:00:00",2267286007
"2015-04-12 04:00:00",2267286007
"2015-04-13 04:00:00",2304378065
"2015-04-14 04:00:00",2414156843
"2015-04-15 04:00:00",1256177533
"2015-04-16 04:00:00",1771577669
"2015-04-17 04:00:00",2457567857
"2015-04-18 04:00:00",2457567857
"2015-04-19 04:00:00",2457567857
"2015-04-20 04:00:00",2847040670
"2015-04-21 04:00:00",3510625959
"2015-04-22 04:00:00",3567326677
"2015-04-23 04:00:00",3789462594
"2015-04-24 04:00:00",3623762840
"2015-04-25 04:00:00",3623762840
"2015-04-26 04:00:00",3623762840
"2015-04-27 04:00:00",3729235857
"2015-04-28 04:00:00",3931542245
"2015-04-29 04:00:00",3726281677
"2015-04-30 04:00:00",3131959062
"2015-05-01 04:00:00",3126743675
"2015-05-02 04:00:00",3126743675
"2015-05-03 04:00:00",3126743675
"2015-05-04 04:00:00",3321399168
"2015-05-05 04:00:00",3365301290
"2015-05-06 04:00:00",3003239922
"2015-05-07 04:00:00",3148554298
"2015-05-08 04:00:00",3139019822
"2015-05-09 04:00:00",3139019822
"2015-05-10 04:00:00",3139019822
"2015-05-11 04:00:00",3489504972
"2015-05-12 04:00:00",3524701669
"2015-05-13 04:00:00",3369588730
"2015-05-14 04:00:00",3521412595
"2015-05-15 04:00:00",3106102424
"2015-05-16 04:00:00",3106102424
"2015-05-17 04:00:00",3106102424
"2015-05-18 04:00:00",3429576688
"2015-05-19 04:00:00",3495063746
"2015-05-20 04:00:00",3322793984
"2015-05-21 04:00:00",3795907667
"2015-05-22 04:00:00",3972864839
"2015-05-23 04:00:00",3972864839
"2015-05-24 04:00:00",3972864839
"2015-05-25 04:00:00",3972864839
"2015-05-26 04:00:00",3818065297
"2015-05-27 04:00:00",3759324101
"2015-05-28 04:00:00",3610257306
"2015-05-29 04:00:00",3636481013
"2015-05-30 04:00:00",3636481013
"2015-05-31 04:00:00",3636481013
"2015-06-01 04:00:00",2075457690
"2015-06-02 04:00:00",2143465034
"2015-06-03 04:00:00",2181860473
"2015-06-04 04:00:00",2016139234
"2015-06-05 04:00:00",2003461283
"2015-06-06 04:00:00",2003461283
"2015-06-07 04:00:00",2003461283
"2015-06-08 04:00:00",2001914687
"2015-06-09 04:00:00",2154543987
"2015-06-10 04:00:00",1879210172
"2015-06-11 04:00:00",2022321848
"2015-06-12 04:00:00",2306677867
"2015-06-13 04:00:00",2306677867
"2015-06-14 04:00:00",2306677867
"2015-06-15 04:00:00",2318554102
"2015-06-16 04:00:00",2289930317
"2015-06-17 04:00:00",2362085966
"2015-06-18 04:00:00",2557630536
"2015-06-19 04:00:00",2669913970
"2015-06-20 04:00:00",2669913970
"2015-06-21 04:00:00",2669913970
"2015-06-22 04:00:00",2891217499
"2015-06-23 04:00:00",3320422603
"2015-06-24 04:00:00",3249681423
"2015-06-25 04:00:00",3146251319
"2015-06-26 04:00:00",3134241547
"2015-06-27 04:00:00",3134241547
"2015-06-28 04:00:00",3134241547
"2015-06-29 04:00:00",3181546991
"2015-06-30 04:00:00",3328206409
"2015-07-01 04:00:00",2730054453
"2015-07-02 04:00:00",2722082885
"2015-07-03 04:00:00",2722082885
"2015-07-04 04:00:00",2737319219
"2015-07-05 04:00:00",2737319219
"2015-07-06 04:00:00",2905578378
"2015-07-07 04:00:00",3105719988
"2015-07-08 04:00:00",2891616037
"2015-07-09 04:00:00",2941308559
"2015-07-10 04:00:00",2886506519
"2015-07-11 04:00:00",2886506519
"2015-07-12 04:00:00",2886506519
"2015-07-13 04:00:00",3002334140
"2015-07-14 04:00:00",3078393658
"2015-07-15 04:00:00",21533188
"2015-07-16 04:00:00",234847904
"2015-07-17 04:00:00",201079978
"2015-07-18 04:00:00",201079978
"2015-07-19 04:00:00",201079978
"2015-07-20 04:00:00",225368121
"2015-07-21 04:00:00",1375662892
"2015-07-22 04:00:00",1981874333
"2015-07-23 04:00:00",2744291931
"2015-07-24 04:00:00",2775809700
"2015-07-25 04:00:00",2775809700
"2015-07-26 04:00:00",2775809700
"2015-07-27 04:00:00",2819506409
"2015-07-28 04:00:00",2875376557
"2015-07-29 04:00:00",2758293742
"2015-07-30 04:00:00",2797290669
"2015-07-31 04:00:00",2700779239
"2015-08-01 04:00:00",2700779239
"2015-08-02 04:00:00",2700779239
"2015-08-03 04:00:00",2770010682
"2015-08-04 04:00:00",2777948529
"2015-08-05 04:00:00",2466103380
"2015-08-06 04:00:00",2658999621
"2015-08-07 04:00:00",2646669143
"2015-08-08 04:00:00",2646669143
"2015-08-09 04:00:00",2646669143
"2015-08-10 04:00:00",2785986520
"2015-08-11 04:00:00",2827562511
"2015-08-12 04:00:00",2654925150
"2015-08-13 04:00:00",2764658102
"2015-08-14 04:00:00",1487992318
"2015-08-15 04:00:00",1487992318
"2015-08-16 04:00:00",1487992318
"2015-08-17 04:00:00",2314470699
